"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FARGB16BigConvertPS","Global","SF_Pixel","1","1176"
"FAYUVConvertPS","Global","SF_Pixel","1","585"
"FAccumulateCubeFacesPS","Global","SF_Pixel","1","466"
"FAccumulateDiffuseIrradiancePS","Global","SF_Pixel","1","806"
"FAlphaInvertPS","Global","SF_Pixel","1","292"
"FApplyLowerHemisphereColorPS","Global","SF_Pixel","1","710"
"FBMPConvertPS","Global","SF_Pixel","1","557"
"FBasicEyeAdaptationSetupPS","Global","SF_Pixel","1","445"
"FBinkDrawICtCpPS","Global","SF_Pixel","8","6249"
"FBinkDrawVS","Global","SF_Vertex","1","447"
"FBinkDrawYCbCrPS","Global","SF_Pixel","4","1801"
"FBuildIndirectDispatchArgsBufferCS","Global","SF_Compute","1","458"
"FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs","Global","SF_Compute","32","113678"
"FBuildLandscapeTileDataCS","Global","SF_Compute","1","1909"
"FCapsuleShadowingCS","Global","SF_Compute","6","15207"
"FCapsuleShadowingUpsamplePS","Global","SF_Pixel","4","2986"
"FCapsuleShadowingUpsampleVS","Global","SF_Vertex","1","613"
"FClearIndirectArgInstanceCountCs","Global","SF_Compute","1","360"
"FClearIndirectDispatchArgsCS","Global","SF_Compute","1","424"
"FClearMessageBufferCS","Global","SF_Compute","1","154"
"FClearPressureGridCS","Global","SF_Compute","1","615"
"FClearReplacementCS_Buffer_Float4_Bounds","Global","SF_Compute","1","334"
"FClearReplacementCS_Buffer_Float_Bounds","Global","SF_Compute","1","335"
"FClearReplacementCS_Buffer_Sint4_Bounds","Global","SF_Compute","1","334"
"FClearReplacementCS_Buffer_Uint","Global","SF_Compute","1","191"
"FClearReplacementCS_Buffer_Uint4","Global","SF_Compute","1","191"
"FClearReplacementCS_Buffer_Uint4_Bounds","Global","SF_Compute","1","334"
"FClearReplacementCS_Buffer_Uint_Bounds","Global","SF_Compute","1","335"
"FClearReplacementCS_Buffer_Uint_Zero","Global","SF_Compute","1","164"
"FClearReplacementCS_LargeBuffer_Float4_Bounds","Global","SF_Compute","1","335"
"FClearReplacementCS_LargeBuffer_Float_Bounds","Global","SF_Compute","1","336"
"FClearReplacementCS_LargeBuffer_Sint4_Bounds","Global","SF_Compute","1","335"
"FClearReplacementCS_LargeBuffer_Uint","Global","SF_Compute","1","193"
"FClearReplacementCS_LargeBuffer_Uint4","Global","SF_Compute","1","193"
"FClearReplacementCS_LargeBuffer_Uint4_Bounds","Global","SF_Compute","1","335"
"FClearReplacementCS_LargeBuffer_Uint_Bounds","Global","SF_Compute","1","335"
"FClearReplacementCS_StructuredBuffer_Float4_Bounds","Global","SF_Compute","1","334"
"FClearReplacementCS_StructuredBuffer_Float_Bounds","Global","SF_Compute","1","332"
"FClearReplacementCS_StructuredBuffer_Sint4_Bounds","Global","SF_Compute","1","334"
"FClearReplacementCS_StructuredBuffer_Uint","Global","SF_Compute","1","191"
"FClearReplacementCS_StructuredBuffer_Uint4","Global","SF_Compute","1","191"
"FClearReplacementCS_StructuredBuffer_Uint4_Bounds","Global","SF_Compute","1","334"
"FClearReplacementCS_StructuredBuffer_Uint_Bounds","Global","SF_Compute","1","332"
"FClearReplacementCS_StructuredBuffer_Uint_Zero","Global","SF_Compute","1","163"
"FClearReplacementCS_Texture2DArray_Float4","Global","SF_Compute","1","191"
"FClearReplacementCS_Texture2DArray_Float4_Bounds","Global","SF_Compute","1","295"
"FClearReplacementCS_Texture2DArray_Sint4_Bounds","Global","SF_Compute","1","295"
"FClearReplacementCS_Texture2DArray_Uint","Global","SF_Compute","1","191"
"FClearReplacementCS_Texture2DArray_Uint4","Global","SF_Compute","1","191"
"FClearReplacementCS_Texture2DArray_Uint4_Bounds","Global","SF_Compute","1","295"
"FClearReplacementCS_Texture2DArray_Uint_Zero","Global","SF_Compute","1","164"
"FClearReplacementCS_Texture2D_Float4","Global","SF_Compute","1","191"
"FClearReplacementCS_Texture2D_Float4_Bounds","Global","SF_Compute","1","273"
"FClearReplacementCS_Texture2D_Sint4_Bounds","Global","SF_Compute","1","273"
"FClearReplacementCS_Texture2D_Uint4","Global","SF_Compute","1","191"
