"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FARGB16BigConvertPS","Global","SF_Pixel","1","3632"
"FAYUVConvertPS","Global","SF_Pixel","1","2821"
"FAccumulateCubeFacesPS","Global","SF_Pixel","1","2458"
"FAccumulateDiffuseIrradiancePS","Global","SF_Pixel","1","3348"
"FAllocBlocksCS","Global","SF_Compute","1","2982"
"FAllocatePagesCS","Global","SF_Compute","12","71015"
"FAlphaInvertPS","Global","SF_Pixel","1","2173"
"FAmbientCubemapCompositePS","Global","SF_Pixel","1","6377"
"FAmbientOcclusionCS","Global","SF_Compute","14","105130"
"FAmbientOcclusionPS","Global","SF_Pixel","18","128540"
"FAmbientOcclusionSetupPS","Global","SF_Pixel","1","5843"
"FAmbientOcclusionSmoothCS","Global","SF_Compute","1","2530"
"FApplyLightShaftsPixelShader","Global","SF_Pixel","1","2437"
"FApplyLocalExposureCS","Global","SF_Compute","1","3936"
"FApplyLowerHemisphereColorPS","Global","SF_Pixel","1","2905"
"FBMPConvertPS","Global","SF_Pixel","1","2777"
"FBasicEyeAdaptationCS","Global","SF_Compute","2","9071"
"FBasicEyeAdaptationSetupPS","Global","SF_Pixel","1","2841"
"FBinBricksInTilesCS","Global","SF_Compute","1","5192"
"FBinkDrawICtCpPS","Global","SF_Pixel","8","26587"
"FBinkDrawVS","Global","SF_Vertex","1","2203"
"FBinkDrawYCbCrPS","Global","SF_Pixel","4","11004"
"FBlendDistortionDisplacementMapCS","Global","SF_Compute","4","10805"
"FBloomClampKernelCS","Global","SF_Compute","1","2563"
"FBloomDownsampleKernelCS","Global","SF_Compute","1","2464"
"FBloomFinalizeApplyConstantsCS","Global","SF_Compute","1","2399"
"FBloomFindKernelCenterCS","Global","SF_Compute","1","3262"
"FBloomPackKernelConstantsCS","Global","SF_Compute","1","2560"
"FBloomReduceKernelSurveyCS","Global","SF_Compute","1","3690"
"FBloomResizeKernelCS","Global","SF_Compute","1","3403"
"FBloomSetupCS","Global","SF_Compute","4","13960"
"FBloomSetupPS","Global","SF_Pixel","4","13908"
"FBloomSumScatterDispersionEnergyCS","Global","SF_Compute","1","3212"
"FBloomSurveyKernelCenterEnergyCS","Global","SF_Compute","1","3729"
"FBloomSurveyMaxScatterDispersionCS","Global","SF_Compute","1","3201"
"FBlurLightShaftsPixelShader","Global","SF_Pixel","1","3642"
"FBuildGridTilesCS","Global","SF_Compute","1","4167"
"FBuildHeightfieldComposeTilesCS","Global","SF_Compute","1","2306"
"FBuildHeightfieldComposeTilesIndirectArgBufferCS","Global","SF_Compute","1","2051"
"FBuildIndirectDispatchArgsBufferCS","Global","SF_Compute","1","2232"
"FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs","Global","SF_Compute","64","606515"
"FBuildLandscapeTileDataCS","Global","SF_Compute","1","4642"
"FBuildPhysicsFieldClipmapCS","Global","SF_Compute","1","13994"
"FBuildShadingEnergyConservationTableCS","Global","SF_Compute","4","14304"
"FBuildTileArraysCS","Global","SF_Compute","1","3344"
"FBuildTileConesCS","Global","SF_Compute","1","4011"
"FCalculateCompactBlockInstanceOffsetsCs","Global","SF_Compute","1","3153"
"FCalculateExposureIlluminanceCS","Global","SF_Compute","1","5943"
"FCalculateShadingRateImageCS","Global","SF_Compute","6","19810"
"FCalibratedMapDerivedDataCS","Global","SF_Compute","17","50641"
"FCapsuleShadowingCS","Global","SF_Compute","15","197968"
"FCapsuleShadowingUpsamplePS","Global","SF_Pixel","4","13139"
"FCapsuleShadowingUpsampleVS","Global","SF_Vertex","1","2910"
"FClearAABBCS","Global","SF_Compute","1","1794"
"FClearIndirectArgBufferCS","Global","SF_Compute","1","2120"
"FClearIndirectArgInstanceCountCs","Global","SF_Compute","1","1922"
"FClearIndirectDispatchArgsCS","Global","SF_Compute","1","2102"
"FClearLightSamplesCS","Global","SF_Compute","1","2574"
"FClearMessageBufferCS","Global","SF_Compute","1","1539"
"FClearPressureGridCS","Global","SF_Compute","1","2896"
"FClearReplacementCS_Buffer_Float4_Bounds","Global","SF_Compute","1","1969"
"FClearReplacementCS_Buffer_Float_Bounds","Global","SF_Compute","1","1935"
"FClearReplacementCS_Buffer_Sint4_Bounds","Global","SF_Compute","1","1882"
"FClearReplacementCS_Buffer_Uint","Global","SF_Compute","1","1699"
"FClearReplacementCS_Buffer_Uint4","Global","SF_Compute","1","1737"
"FClearReplacementCS_Buffer_Uint4_Bounds","Global","SF_Compute","1","1897"
"FClearReplacementCS_Buffer_Uint_Bounds","Global","SF_Compute","1","1866"
"FClearReplacementCS_Buffer_Uint_Zero","Global","SF_Compute","1","1526"
"FClearReplacementCS_LargeBuffer_Float4_Bounds","Global","SF_Compute","1","1970"
"FClearReplacementCS_LargeBuffer_Float_Bounds","Global","SF_Compute","1","1936"
"FClearReplacementCS_LargeBuffer_Sint4_Bounds","Global","SF_Compute","1","1892"
"FClearReplacementCS_LargeBuffer_Uint","Global","SF_Compute","1","1700"
"FClearReplacementCS_LargeBuffer_Uint4","Global","SF_Compute","1","1738"
"FClearReplacementCS_LargeBuffer_Uint4_Bounds","Global","SF_Compute","1","1907"
"FClearReplacementCS_LargeBuffer_Uint_Bounds","Global","SF_Compute","1","1875"
"FClearReplacementCS_StructuredBuffer_Float4_Bounds","Global","SF_Compute","1","1998"
"FClearReplacementCS_StructuredBuffer_Float_Bounds","Global","SF_Compute","1","1957"
"FClearReplacementCS_StructuredBuffer_Sint4_Bounds","Global","SF_Compute","1","1922"
"FClearReplacementCS_StructuredBuffer_Uint","Global","SF_Compute","1","1729"
"FClearReplacementCS_StructuredBuffer_Uint4","Global","SF_Compute","1","1758"
"FClearReplacementCS_StructuredBuffer_Uint4_Bounds","Global","SF_Compute","1","1937"
"FClearReplacementCS_StructuredBuffer_Uint_Bounds","Global","SF_Compute","1","1896"
"FClearReplacementCS_StructuredBuffer_Uint_Zero","Global","SF_Compute","1","1554"
"FClearReplacementCS_Texture2DArray_Float4","Global","SF_Compute","1","1762"
"FClearReplacementCS_Texture2DArray_Float4_Bounds","Global","SF_Compute","1","1933"
"FClearReplacementCS_Texture2DArray_Sint4_Bounds","Global","SF_Compute","1","1861"
"FClearReplacementCS_Texture2DArray_Uint","Global","SF_Compute","1","1732"
"FClearReplacementCS_Texture2DArray_Uint4","Global","SF_Compute","1","1760"
"FClearReplacementCS_Texture2DArray_Uint4_Bounds","Global","SF_Compute","1","1873"
"FClearReplacementCS_Texture2DArray_Uint_Zero","Global","SF_Compute","1","1550"
"FClearReplacementCS_Texture2D_Float4","Global","SF_Compute","1","1743"
"FClearReplacementCS_Texture2D_Float4_Bounds","Global","SF_Compute","1","1898"
"FClearReplacementCS_Texture2D_Sint4_Bounds","Global","SF_Compute","1","1826"
"FClearReplacementCS_Texture2D_Uint4","Global","SF_Compute","1","1748"
"FClearReplacementCS_Texture2D_Uint4_Bounds","Global","SF_Compute","1","1837"
"FClearReplacementCS_Texture3D_Float4","Global","SF_Compute","1","1745"
"FClearReplacementCS_Texture3D_Float4_Bounds","Global","SF_Compute","1","1925"
"FClearReplacementCS_Texture3D_Sint4_Bounds","Global","SF_Compute","1","1849"
"FClearReplacementCS_Texture3D_Uint4","Global","SF_Compute","1","1747"
"FClearReplacementCS_Texture3D_Uint4_Bounds","Global","SF_Compute","1","1860"
"FClearReplacementPS","Global","SF_Pixel","1","1700"
"FClearReplacementPS_128","Global","SF_Pixel","1","1700"
"FClearReplacementPS_Zero","Global","SF_Pixel","1","1337"
"FClearReplacementVS","Global","SF_Vertex","1","1507"
"FClearReplacementVS_Bounds","Global","SF_Vertex","1","1878"
"FClearReplacementVS_Depth","Global","SF_Vertex","1","1871"
"FClearResolvedLightingCS","Global","SF_Compute","1","2675"
"FClearTranslucentLightingVolumeCS","Global","SF_Compute","1","1922"
"FClearUAVBuildIndirectDispatchBufferCS","Global","SF_Compute","1","2134"
"FClearUAVCS","Global","SF_Compute","1","1931"
"FClearUAVRectsPS","Global","SF_Pixel","1","1961"
"FClearUIntGraphicPS","Global","SF_Pixel","3","4985"
"FClearVelocityGridCS","Global","SF_Compute","1","1819"
"FCloudShadowFilterCS","Global","SF_Compute","2","5148"
"FCloudShadowTemporalProcessCS","Global","SF_Compute","1","3284"
"FClusteredShadingPS","Global","SF_Pixel","18","815513"
"FClusteredShadingVS","Global","SF_Vertex","1","2628"
"FCombineConeVisibilityCS","Global","SF_Compute","1","3174"
"FCombineShadingRateTexturesCS","Global","SF_Compute","1","1996"
"FCompactLightSampleTracesCS","Global","SF_Compute","2","5716"
"FCompactViewsVSM_CS","Global","SF_Compute","1","5132"
"FCompactVisibleInstancesCs","Global","SF_Compute","1","3139"
"FComplexFFTPassCS","Global","SF_Compute","1","3963"
"FComplexMultiplyImagesCS","Global","SF_Compute","1","2873"
"FComposeHeightfieldsIntoPagesCS","Global","SF_Compute","2","13120"
"FComposeMeshEdgesPS","Global","SF_Pixel","4","13953"
"FComposeSeparateTranslucencyPS","Global","SF_Pixel","2","7862"
"FComposeVolumetricRTOverScenePS","Global","SF_Pixel","192","2199154"
"FCompositeAnimatedVectorFieldCS","Global","SF_Compute","1","3205"
"FCompositeCoreDilateShader","Global","SF_Compute","3","10541"
"FCompositeCoreDisplayTransformShader","Global","SF_Pixel","1","2672"
"FCompositeCoreMergeShader","Global","SF_Pixel","2","8601"
"FCompositeEditorPrimitivesPS","Global","SF_Pixel","14","57070"
"FCompositeHDRForBlurPS","Global","SF_Pixel","2","6882"
"FCompositeHeightfieldsIntoObjectGridPagesCS","Global","SF_Compute","1","7296"
"FCompositeObjectsIntoObjectGridPagesCS","Global","SF_Compute","8","48961"
"FCompositeObjectsIntoPagesCS","Global","SF_Compute","16","92378"
"FCompositePS","Global","SF_Pixel","4","20138"
"FComputeBrightnessPS","Global","SF_Pixel","1","2414"
"FComputeCubeMaxLuminancePS","Global","SF_Pixel","1","2348"
"FComputeCulledObjectStartOffsetCS","Global","SF_Compute","1","2512"
"FComputeCulledTilesStartOffsetCS","Global","SF_Compute","1","2603"
"FComputeDistanceFieldAssetWantedMipsCS","Global","SF_Compute","1","3293"
"FComputeDistanceFieldNormalCS","Global","SF_Compute","1","2842"
"FComputeDistanceFieldNormalPS","Global","SF_Pixel","1","3039"
"FComputeLightDirectionFromVolumetricLightmapCS","Global","SF_Compute","1","4831"
"FComputeSkyEnvMapDiffuseIrradianceCS","Global","SF_Compute","1","8075"
"FComputeVariableRateShadingImageGeneration","Global","SF_Compute","1","2129"
